,extime,iterations,resolution,savetime
0,247620,800,200,438
1,921162,800,400,340
2,1467320,800,500,425
3,2097919,800,600,492
4,2785201,800,700,360
5,4015906,800,800,457
6,5130016,800,900,383
7,6130268,800,1000,308
8,7127228,800,1100,379
9,8537206,800,1200,459
10,9869518,800,1300,517
11,11528925,800,1400,526
12,13192183,800,1500,458
13,14550571,800,1600,382
14,17109891,800,1700,438
15,18217024,800,1800,370
16,20256576,800,1900,494
17,22991216,800,2000,350
18,25467990,800,2100,419
19,27135149,800,2200,440
20,29630660,800,2300,414
21,32700794,800,2400,469
22,35581752,800,2500,423
